Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2022-06-13,41DE1A6824B70096E1974963FB01214C,24928466AD025A59359D41FFF0ED5E5B,False,,True,True,True,True,True,True,2022-04-29,,2022-04-29,,,2022-05-06,2022-04-28,2022-04-28,2022-04-28,2022-04-28,2022-04-28,2022-04-28,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY
2022-06-13,5F887A67D947DB9B579D623693318275,3B39F65D85673670408B2EF28DF5E2CA,False,,True,True,True,True,True,True,,,2022-04-02,,,,2022-04-02,2022-04-02,2022-04-02,2022-04-02,2022-04-02,2022-04-02,MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY+POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,7812FD152A4C83B098A4B413057D2C35,97499A672041A450C669546CAE9D3592,False,,True,True,True,True,True,True,2022-06-13,2022-06-13,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,409454FE57548E3969259AB7C7A5F3E9,6F367183F4C8F35B9135B367ECA16F4A,False,,True,True,True,True,True,True,2022-06-09,2022-06-11,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,11681F35E13242F4D50C515F630B68B4,FD29265509A40BF5212746B458D9D21D,False,,True,True,True,True,True,True,2022-06-13,2022-04-12,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,9E0D6E7C3832E795CB3CC629C86E22BC,04067618C81AD2578EFB12320BF6F9C3,False,,True,True,True,True,True,True,2022-05-16,,2022-05-16,,,,2022-05-16,2022-05-16,2022-05-16,2022-05-16,2022-05-16,2022-05-16,MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY+POWER BI (FREE)
2022-06-13,AE76B9006F87902ABB330C63AD71A3BB,AFD10E0EC166333B155F7D0BD1CB1657,False,,True,True,True,True,True,True,2022-06-13,2022-06-06,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,0CB38398EB881E9720E7E5800625BBE9,853875EB6790AEE119EA93E1C73C7422,False,,True,True,True,True,True,True,2022-06-11,2022-05-07,2022-05-18,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,19856AA7DE6F2ECDB1A721B2EEF42F30,583BC47BCCCC2F0159CB357CD7C15719,False,,True,True,True,True,True,True,2022-06-13,2022-06-11,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,717643524FF82BA7EF0CEBF34A6D949A,9D6AF8DC4974086378C2405C9C0663DC,False,,True,True,True,True,True,True,,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,EAE659D0BEFB5B65DCBB71E91EEC0FB9,908412D7ABE8F1232E97FECC4EFC73F1,False,,True,True,True,True,True,True,2022-06-13,2022-06-08,2022-04-03,,,2022-04-03,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,4B6E800913C95D8A25400A2928CB1B2C,AB83683CC4E653268FFA0DBBBD316445,False,,True,True,True,True,True,True,2022-06-09,2022-06-13,2022-06-13,,,2022-06-13,2022-04-04,2022-04-04,2022-04-04,2022-04-04,2022-04-04,2022-04-04,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 BUSINESS BASIC
